,INFEED CONVEYER,,,,,,,,,,,,,,,,OUTFEED CONVEYER,,,,,,
TIME,Capacity (Pcs/Min),,,Accumulate (Pcs/Day),,,Belt Speed (Hz),,,,,,,,Operation time,Accumulate,Belt Speed (Hz),,,,,,
(hh:mm:ss),ALL,LINE 1A,LINE 1B,ALL,LINE 1A,LINE 1B,M01,M02,M03A,M03B,M07,M08,M09,M10,Hr.,Pcs/Day,M11,M12,M13,,,,
0:00:00,0,0,0,0,0,0,20,80,25,25,100,100,50,40,17,1,30,80,80,,,,
1:00:00,0,0,0,0,0,0,20,80,25,25,100,100,50,40,17,1,30,80,80,,,,
2:00:00,0,0,0,0,0,0,20,80,25,25,100,100,50,40,17,1,30,80,80,,,,
3:00:00,0,0,0,0,0,0,20,80,25,25,100,100,50,40,17,1,30,80,80,,,,
4:00:00,0,0,0,0,0,0,20,80,25,25,100,100,50,40,17,1,30,80,80,,,,
5:00:00,0,0,0,0,0,0,20,80,25,25,100,100,50,40,17,1,30,80,80,,,,
6:00:00,0,0,0,0,0,0,20,80,25,25,100,100,50,40,17,1,30,80,80,,,,
7:00:00,0,0,0,0,0,0,20,80,25,25,100,100,50,40,17,1,30,80,80,,,,
8:00:00,0,0,0,0,0,0,20,80,25,25,100,100,50,40,17,1,30,80,80,,,,
10:00:00,0,0,0,1,0,1,20,80,25,25,100,100,50,40,17,3,30,80,80,,,,
11:00:00,0,0,0,1,0,1,20,80,25,25,100,100,50,40,17,3,30,80,80,,,,
12:00:00,0,0,0,1,0,1,20,80,25,25,100,100,50,40,17,3,30,80,80,,,,
13:00:00,0,0,0,1,0,1,20,80,25,25,100,100,50,40,17,3,30,80,80,,,,
14:00:00,0,0,0,1,0,1,20,80,25,25,100,100,50,40,17,3,30,80,80,,,,
16:00:00,0,0,0,0,0,0,20,80,25,25,100,100,50,40,18,0,60,25,60,,,,
17:00:00,0,0,0,7,2,5,20,80,25,25,100,100,50,40,18,0,60,25,60,,,,
